Date,Participant,Session,Block,Trial,Target,Stimulus,Stimulus Color,Reaction Time,stimulus presentation,blank presentation,jitter
20170201,122,1,6,7,T,R,cyan,0.0,0.4,0.1,0.11242557008913788
20170201,122,1,6,8,T,x,cyan,0.0,0.4,0.1,0.15983468987158245
20170201,122,1,6,9,T,Q,red,0.42997217178344727,0.4,0.1,0.07484130791154775
20170201,122,1,6,10,T,q,cyan,0.0,0.4,0.1,0.029872831391717505
20170201,122,1,6,11,T,H,cyan,0.0,0.4,0.1,0.11985146350168113
20170201,122,1,6,12,T,R,yellow,0.0,0.4,0.1,0.03865895047254789
20170201,122,1,6,13,T,d,red,0.0,0.4,0.1,0.018004892358058557
20170201,122,1,6,14,T,w,magenta,0.2132108211517334,0.4,0.1,0.054897144322038696
20170201,122,1,6,15,T,Q,magenta,0.12985491752624512,0.4,0.1,0.12425188844980417
20170201,122,1,6,16,T,W,black,0.0,0.4,0.1,0.12756888301964084
20170201,122,1,6,17,T,t,red,0.0,0.4,0.1,0.04775207155753985
20170201,122,1,6,18,T,X,yellow,0.26343107223510742,0.4,0.1,0.035285563601577044
20170201,122,1,6,19,T,t,cyan,0.0,0.4,0.1,0.01086777030166719
20170201,122,1,6,20,T,R,magenta,0.013207912445068359,0.4,0.1,0.09093436467602073
20170201,122,1,6,21,T,A,red,0.0,0.4,0.1,0.14081466323832714
20170201,122,1,6,22,T,W,black,0.0,0.4,0.1,0.1896963085878231
20170201,122,1,6,23,T,G,cyan,0.49639296531677246,0.4,0.1,0.12444063427341641
20170201,122,1,6,24,T,H,cyan,0.57987809181213379,0.4,0.1,0.1993491604962255
20170201,122,1,6,25,T,d,black,0.37991213798522949,0.4,0.1,0.07380042555451719
20170201,122,1,6,26,T,a,black,0.0,0.4,0.1,0.15505451228366665
20170201,122,1,6,27,T,W,yellow,0.0,0.4,0.1,0.12417463794036948
20170201,122,1,6,28,T,R,yellow,0.51292991638183594,0.4,0.1,0.0003128012012887371
20170201,122,1,6,29,T,H,cyan,0.46328282356262207,0.4,0.1,0.10606665813377632
20170201,122,1,7,0,X,R,magenta,0.0,0.4,0.1,0.13749959326683306
20170201,122,1,7,1,X,t,magenta,0.0,0.4,0.1,0.06733430507067328
20170201,122,1,7,2,X,X,magenta,0.046790838241577148,0.4,0.1,0.12579455725819927
20170201,122,1,7,3,X,s,red,0.596405029296875,0.4,0.1,0.1632544042101518
20170201,122,1,7,4,X,w,cyan,0.51353001594543457,0.4,0.1,0.005015729544631586
20170201,122,1,7,5,X,F,cyan,0.0,0.4,0.1,0.1991630279338635
20170201,122,1,7,6,X,R,black,0.0,0.4,0.1,0.1768180371720526
20170201,122,1,7,7,X,S,black,0.0,0.4,0.1,0.0490729877226664
20170201,122,1,7,8,X,g,yellow,0.0,0.4,0.1,0.06460487027124613
20170201,122,1,7,9,X,S,yellow,0.42997217178344727,0.4,0.1,0.10526525373007456
20170201,122,1,7,10,X,X,magenta,0.0,0.4,0.1,0.13269069285399887
20170201,122,1,7,11,X,W,red,0.0,0.4,0.1,0.1532792480013393
20170201,122,1,7,12,X,p,cyan,0.0,0.4,0.1,0.09206085614480329
20170201,122,1,7,13,X,r,cyan,0.0,0.4,0.1,0.19478740606957934
20170201,122,1,7,14,X,F,cyan,0.2132108211517334,0.4,0.1,0.16610649931096919
20170201,122,1,7,15,X,H,cyan,0.12985491752624512,0.4,0.1,0.1093488622315013
20170201,122,1,7,16,X,D,black,0.0,0.4,0.1,0.10181388281398754
20170201,122,1,7,17,X,s,cyan,0.0,0.4,0.1,0.026281695315303624
20170201,122,1,7,18,X,D,cyan,0.26343107223510742,0.4,0.1,0.09405910135991742
20170201,122,1,7,19,X,r,black,0.0,0.4,0.1,0.05884105908146682
20170201,122,1,7,20,X,a,red,0.013207912445068359,0.4,0.1,0.03882463776109338
20170201,122,1,7,21,X,R,yellow,0.0,0.4,0.1,0.1304167064621429
20170201,122,1,7,22,X,r,magenta,0.0,0.4,0.1,0.08601763731063768
20170201,122,1,7,23,X,X,magenta,0.49639296531677246,0.4,0.1,0.024677165117441138
20170201,122,1,7,24,X,h,yellow,0.19691205024719238,0.4,0.1,0.1548803146191107
20170201,122,1,7,25,X,f,yellow,0.37991213798522949,0.4,0.1,0.18110064694798833
20170201,122,1,7,26,X,w,magenta,0.0,0.4,0.1,0.09209402224836871
20170201,122,1,7,27,X,G,red,0.0,0.4,0.1,0.05618522036960549
20170201,122,1,7,28,X,p,black,0.51292991638183594,0.4,0.1,0.02926763514397901
20170201,122,1,7,29,X,f,magenta,0.46328282356262207,0.4,0.1,0.11856983036137198
20170201,122,1,8,0,A,H,cyan,0.0,0.4,0.1,0.1047716144416877
20170201,122,1,8,1,A,F,yellow,0.0,0.4,0.1,0.07512193660187455
20170201,122,1,8,2,A,t,red,0.046790838241577148,0.4,0.1,0.003777865972439143
20170201,122,1,8,3,A,R,magenta,0.596405029296875,0.4,0.1,0.03476403081285686
20170201,122,1,8,4,A,R,red,0.51353001594543457,0.4,0.1,0.08537519461393389
20170201,122,1,8,5,A,g,magenta,0.0,0.4,0.1,0.04994781222385869
20170201,122,1,8,6,A,Q,red,0.0,0.4,0.1,0.010542674687353593
20170201,122,1,8,7,A,q,black,0.0,0.4,0.1,0.1593240062128466
20170201,122,1,8,8,A,s,black,0.0,0.4,0.1,0.07912655131886066
20170201,122,1,8,9,A,D,cyan,0.42997217178344727,0.4,0.1,0.04746954115062272
20170201,122,1,8,10,A,f,black,0.0,0.4,0.1,0.0046844502003060345
20170201,122,1,8,11,A,p,red,0.0,0.4,0.1,0.11422566292170021
20170201,122,1,8,12,A,T,black,0.0,0.4,0.1,0.15889137218081376
20170201,122,1,8,13,A,P,cyan,0.0,0.4,0.1,0.08923853637585782
20170201,122,1,8,14,A,g,red,0.2132108211517334,0.4,0.1,0.14105714863790736
20170201,122,1,8,15,A,X,red,0.12985491752624512,0.4,0.1,0.11601077716990252
